name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
Kore Regular Gym Bag;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/715B2hG++tL._AC_UL320_.jpg;https://www.amazon.in/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF/ref=sr_1_49?qid=1679218203&s=sports&sr=1-49;2.9;3836.0;;59.0;Kore
Boldfit Resistance Tube with Foam Handles, Door Anchor for Exercise & Stretching, Suitable in Home & Gym Workout for Men &...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/71l0xZ29TfS._AC_UL320_.jpg;https://www.amazon.in/Boldfit-Resistance-Tube-Handles-10KG/dp/B08NDNFGTP/ref=sr_1_50?qid=1679218203&s=sports&sr=1-50;4.0;3018.0;279.0;699.0;Boldfit
Strauss Exercise Latex Resistance Bands, (Set of 5);sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/71yLuDGjJUL._AC_UL320_.jpg;https://www.amazon.in/Strauss-Latex-Band-Set-5/dp/B07TLVRKKH/ref=sr_1_51_mod_primary_new?qid=1679218203&s=sports&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-51;4.1;4403.0;489.0;1049.0;Strauss
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black);sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/71xeudlt5EL._AC_UL320_.jpg;https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_52?qid=1679218203&s=sports&sr=1-52;4.3;8901.0;376.0;999.0;AUXTER
Kore PVC 10-40 Kg Home Gym Set with One 3 Ft Curl and One Pair Dumbbell Rods with Gym Accessories;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/81XNzjmXi+L._AC_UL320_.jpg;https://www.amazon.in/Kore-PVC-Home-Gym-Accessories/dp/B089DF1PXS/ref=sr_1_53?qid=1679218203&s=sports&sr=1-53;3.6;33078.0;1049.0;4090.0;Kore
MAXWELL®FIT-Yoga Mat for Women and Men Fitness (SIZE-4mm) with Carrying Strap Extra Thick & Large Excercise Mat for Workou...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/61xWyTStjTL._AC_UL320_.jpg;https://www.amazon.in/MAXWELL%C2%AEFIT-Yoga-SIZE-4mm-Carrying-Excercise-Color-BLACK/dp/B0BPXTSCG8/ref=sr_1_54?qid=1679218203&s=sports&sr=1-54;4.0;165.0;320.0;1699.0;MAXWELL®FIT-Yoga
OJS Skipping Rope for Men and Women Jumping Rope With Adjustable Height Speed Skipping Rope for Exercise, Gym, Sports Fitn...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/71V7BaHBcqL._AC_UL320_.jpg;https://www.amazon.in/OJS-Skipping-Jumping-Adjustable-Exercise/dp/B0BP24TYCC/ref=sr_1_55?qid=1679218203&s=sports&sr=1-55;3.9;48.0;99.0;999.0;OJS
Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/713zoEM3wlL._AC_UL320_.jpg;https://www.amazon.in/Kore-DM-5kg-Combo-Dumbbells-Fitness-Multicolor/dp/B098MGTF4X/ref=sr_1_56?qid=1679218203&s=sports&sr=1-56;3.8;5158.0;449.0;499.0;Kore
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Acc...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/51i9ODagRZL._AC_UL320_.jpg;https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_57?qid=1679218203&s=sports&sr=1-57;4.2;3755.0;528.0;799.0;NIVIA
Starx Plastic Xpvc Fixed Dumbbell Set, Adult 1Kg, Set of 2 (Blue);sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/51k8rbleUML._AC_UL320_.jpg;https://www.amazon.in/StarX-XPVC-Plastic-Dumbbell-Adult/dp/B01HD66M8M/ref=sr_1_58?qid=1679218203&s=sports&sr=1-58;3.4;990.0;99.0;590.0;Starx
PURSUE FASHION Premium Cotton Ankle Socks for Men and Women - Free Size, Solid Unisex Ankle Length Socks, Pack of 5 (Multi...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/71gqkgPxczL._AC_UL320_.jpg;https://www.amazon.in/PURSUE-FASHION-Womens-Ankle-Socks/dp/B0BBG1SWK5/ref=sr_1_59?qid=1679218203&s=sports&sr=1-59;3.9;66.0;289.0;699.0;PURSUE
SPIRO Black Color (Upto 40 Kg. Adjustable), Hand Gripper, Hand Grip Strenthener, Wooden Hand Gripper, Hand Grip Exerciser,...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/61qILzqY7qL._AC_UL320_.jpg;https://www.amazon.in/Adjustable-Gripper-Strenthener-Wooden-Exerciser/dp/B0BH45ZB1K/ref=sr_1_60?qid=1679218203&s=sports&sr=1-60;4.2;19.0;138.55;335.0;SPIRO
SPOKOFIT Finger Gripper Strength Trainer Forearm Exerciser Hand Yoga Resistance Band Exerciser Climbing;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/61QE6BcCq3L._AC_UL320_.jpg;https://www.amazon.in/SPOKOFIT-Strength-Exerciser-Resistance-Climbing/dp/B0BM23T9NJ/ref=sr_1_61?qid=1679218203&s=sports&sr=1-61;3.5;50.0;129.0;699.0;SPOKOFIT
SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue);sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/91Ov-x9d3qL._AC_UL320_.jpg;https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW/ref=sr_1_62?qid=1679218203&s=sports&sr=1-62;4.3;3147.0;435.0;1395.0;SFANE
Cockatoo YM100 Yoga Mat For Women & Men, Anti Slip, EVA Material, (4mm-6mm) Exercise Mat For Home Gym |Yoga Mat For Gym Wo...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/71Y5C+puYhL._AC_UL320_.jpg;https://www.amazon.in/Cockatoo-Material-4mm-6mm-Exercise-Workout/dp/B0BRQJTFMV/ref=sr_1_63?qid=1679218203&s=sports&sr=1-63;3.6;27.0;199.0;599.0;Cockatoo
Slovic Pull-Up Bar for Home Workout | Non-Slip Carbon Steel Gym Bar (Load Capacity: 100 Kg) | Adjustable in Length, Mounta...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/61tUNRjrfLL._AC_UL320_.jpg;https://www.amazon.in/Slovic-Pull-Up-Workout-Non-Slip-Capacity/dp/B0B6NSDR2H/ref=sr_1_64?qid=1679218203&s=sports&sr=1-64;3.8;205.0;689.0;1499.0;Slovic
IRONFIX® Adjustable Hand Grip Exerciser, Hand Grip Strengthener, Wrist Exerciser, Forearm Exerciser, hand gripper (10 to 4...;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/316UVorsJGL._AC_UL320_.jpg;https://www.amazon.in/IRONFIX%C2%AE-Adjustable-Exerciser-Strengthener-Forearm/dp/B0BXJF1T73/ref=sr_1_65?qid=1679218203&s=sports&sr=1-65;4.5;5.0;80.0;299.0;IRONFIX®
FitBox Sports 8kg Exlusive Octa PVC Dumbbells (4kg x 2) Black;sports & fitness;All Exercise & Fitness;https://m.media-amazon.com/images/I/51WynL9B8DL._AC_UL320_.jpg;https://www.amazon.in/FitBox-Sports-Exlusive-Dumbbells-Black/dp/B098JV1SNN/ref=sr_1_66?qid=1679218203&s=sports&sr=1-66;3.6;1161.0;179.0;249.0;FitBox
