name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71f5UPOWDqL._AC_UL320_.jpg;https://www.amazon.in/Nutraj-California-Walnut-Kernels-500g/dp/B07P56M78L/ref=sr_1_697?qid=1679216185&s=grocery&sr=1-697;3.9;6081.0;686.0;998.0;Nutraj
Cadbury Bournvita 5 Star Magic Health Drink, 750g Pouch;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/614FIW5c6HL._AC_UL320_.jpg;https://www.amazon.in/Bournvita-Magic-Chocolate-Health-Refill/dp/B07BFQHW2Z/ref=sr_1_698?qid=1679216185&s=grocery&sr=1-698;4.3;8481.0;;353.0;Cadbury
Sugar Free Green Natural Stevia Jar(200 g);grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/61rBhkTJ6EL._AC_UL320_.jpg;https://www.amazon.in/Sugarfree-Green-100-Natural-Stevia/dp/B082TC6KL9/ref=sr_1_699?qid=1679216185&s=grocery&sr=1-699;4.3;1585.0;162.0;170.0;Sugar
Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71UO6eXC1QL._AC_UL320_.jpg;https://www.amazon.in/Daawat-Pulav-Basmati-Rice-1kg/dp/B00N2WK7QU/ref=sr_1_700?qid=1679216185&s=grocery&sr=1-700;4.3;3907.0;138.0;139.0;Daawat
Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/51kEujuYlpL._AC_UL320_.jpg;https://www.amazon.in/Tata-Tea-Gold-500g/dp/B00GLDPBJK/ref=sr_1_701?qid=1679216185&s=grocery&sr=1-701;4.4;15528.0;283.0;295.0;Tata
Wagh Bakri Premium Leaf Tea, Poly Pack, 500g;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/61kTHO+UX9L._AC_UL320_.jpg;https://www.amazon.in/Wagh-Bakri-Leaf-Poly-Pack/dp/B00N8J3V9M/ref=sr_1_702?qid=1679216185&s=grocery&sr=1-702;4.4;4463.0;281.0;290.0;Wagh
Dabur Vedic Tea - 500gm | Handpicked from Assam, Nilgiri & Darjeeling | Soulful Aroma & Rich Taste | 30+ Ayurvedic Herbs |...;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/61DMPchFPLL._AC_UL320_.jpg;https://www.amazon.in/Dabur-Vedic-Premium-Ayurvedic-Herbs/dp/B0B5F675W5/ref=sr_1_703?qid=1679216185&s=grocery&sr=1-703;4.0;517.0;205.0;295.0;Dabur
Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71ehfHfPCzL._AC_UL320_.jpg;https://www.amazon.in/NESCAFE-Classic-Instant-Coffee-Special/dp/B082DMBGZZ/ref=sr_1_704?qid=1679216185&s=grocery&sr=1-704;4.5;2539.0;626.0;640.0;Nescafe
BLUE TEA - Chamomile Flower Tea | Pure Whole Flower Buds of Chamomile || SLEEP TEA & STRESS RELIEF || Herbal Tea - Caffein...;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71qVgLGta9L._AC_UL320_.jpg;https://www.amazon.in/BLUE-TEA-Chamomile-Flower-Petals/dp/B082418FHJ/ref=sr_1_705?qid=1679216185&s=grocery&sr=1-705;4.1;10450.0;189.0;399.0;BLUE
Organic Tattva, Organic Wheat Dalia / Daliya, 500g;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71a5llM7MBL._AC_UL320_.jpg;https://www.amazon.in/Organic-Tattva-Wheat-Dalia-500g/dp/B00M57TS1S/ref=sr_1_706?qid=1679216185&s=grocery&sr=1-706;4.3;1513.0;;55.0;Organic
Mccain Chilli Garlic Potato Bites, 420 g Regular Pack;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/816voyD8jiL._AC_UL320_.jpg;https://www.amazon.in/Mccain-Chilli-Garlic-Potato-Regular/dp/B01DYAN5JU/ref=sr_1_707_f3_0g_fs?qid=1679216185&s=grocery&sr=1-707;4.4;3256.0;128.0;140.0;Mccain
Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/61pVnleyBgL._AC_UL320_.jpg;https://www.amazon.in/Saffola-Honey-Gold-Tested-Kashmir/dp/B0B9ZQHGBT/ref=sr_1_708?qid=1679216185&s=grocery&sr=1-708;4.4;226.0;352.0;570.0;Saffola
Red Label Natural Care Tea, Chai Made With 5 Ayurvedic Herbs, 1 Kg;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/615F-HVtwEL._AC_UL320_.jpg;https://www.amazon.in/Red-Label-Natural-Care-Tea/dp/B00Q2OML1E/ref=sr_1_709?qid=1679216185&s=grocery&sr=1-709;4.4;9028.0;590.0;650.0;Red
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71stDXSgbHL._AC_UL320_.jpg;https://www.amazon.in/Kelloggs-Chocos-171-6g/dp/B01D10FPTG/ref=sr_1_710?qid=1679216185&s=grocery&sr=1-710;4.4;2163.0;62.0;70.0;Kellogg's
Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71Dtf-ydPYL._AC_UL320_.jpg;https://www.amazon.in/DABUR-Amla-Ayurvedic-Juice-Health/dp/B087DJ4WM2/ref=sr_1_711?qid=1679216185&s=grocery&sr=1-711;4.2;5587.0;172.0;235.0;Dabur
Catch Red Chilli Powder, 100g;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71qMRn40n9L._AC_UL320_.jpg;https://www.amazon.in/Catch-Red-Chilli-Powder-100g/dp/B01B7DZ8BE/ref=sr_1_712?qid=1679216185&s=grocery&sr=1-712;4.4;2013.0;63.0;73.0;Catch
Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/61oEmtyEMmL._AC_UL320_.jpg;https://www.amazon.in/Pedigree-Dentastix-Value-Monthly-Sticks/dp/B01BBXRC5U/ref=sr_1_713?qid=1679216185&rdc=1&s=grocery&sr=1-713;4.5;3656.0;984.0;1070.0;Pedigree
Fresh Baby Orange Nagpur, 1kg;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71O-5pKLmzL._AC_UL320_.jpg;https://www.amazon.in/Fresh-Baby-Orange-Nagpur-1kg/dp/B09GPYRRPL/ref=sr_1_714?qid=1679216185&s=grocery&sr=1-714;;;;;Fresh
Britannia Milk Bikis Biscuits, 170.5g or 190.5g;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/81kgnSr+3KL._AC_UL320_.jpg;https://www.amazon.in/Britannia-Milk-Bikis-Biscuits-200g/dp/B079H8WT7F/ref=sr_1_715_f3_0g_fs?qid=1679216185&s=grocery&sr=1-715;4.3;2257.0;;25.0;Britannia
Nescafé Classic Instant Ground Coffee, 200g Stabilo, Bag;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/71zjeDcWWXL._AC_UL320_.jpg;https://www.amazon.in/Nescaf%C3%A9-Classic-Coffee-200g-Stabilo/dp/B00VJZ0OCY/ref=sr_1_716?qid=1679216185&s=grocery&sr=1-716;4.5;4813.0;;600.0;Nescafé
Mother Dairy Pure Healthy Ghee, 1L;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/91idhnLyJqL._AC_UL320_.jpg;https://www.amazon.in/Mother-Dairy-Pure-Healthy-Ghee/dp/B07DD792X7/ref=sr_1_717?qid=1679216185&s=grocery&sr=1-717;4.2;7251.0;835.0;845.0;Mother
Cadbury Dairy Milk Crispello Chocolate Bar, 35 g;grocery & gourmet foods;All Grocery & Gourmet Foods;https://m.media-amazon.com/images/I/615qkjsgv8L._AC_UL320_.jpg;https://www.amazon.in/Cadbury-Dairy-Milk-Crispello-Chocolate/dp/B07H6T16FS/ref=sr_1_718_f3_0g_fs?qid=1679216185&s=grocery&sr=1-718;4.4;2292.0;;30.0;Cadbury
