name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
TE-A-ME Purify Green Tea, 100 Tea Bags | Green tea bags 100 pcs | Green Tea | Green Tea 100 Tea Bag Pack;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/71fNICQ+fJL._AC_UL320_.jpg;https://www.amazon.in/TE-ME-Natural-Green-150g/dp/B00N8J49LQ/ref=sr_1_73?qid=1679216334&s=grocery&sr=1-73;4.6;1438.0;227.0;325.0;TE-A-ME
Bevzilla 200 Gram 100% Arabica Instant Classic Strong Coffee Powder | Premium Coffee| Strong Coffee| Classic Coffee| Espre...;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/71xwcJP81WL._AC_UL320_.jpg;https://www.amazon.in/Bevzilla-Arabica-Instant-Espresso-Cappucino/dp/B0BPSDDXT2/ref=sr_1_74?qid=1679216334&s=grocery&sr=1-74;4.0;288.0;269.0;799.0;Bevzilla
Tata Tea Premium | Desh Ki Chai | Unique Blend Crafted For Chai Lovers Across India | Black Tea | 500g;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/61z40Qqq-eL._AC_UL320_.jpg;https://www.amazon.in/Tata-Premium-Leaf-North-Blend/dp/B0058PHQYU/ref=sr_1_75?qid=1679216334&s=grocery&sr=1-75;4.4;3991.0;243.0;255.0;Tata
Nescafe Gold Rich and Smooth Coffee Powder, 95g Glass Jar (Weight May Vary Upwards);grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/61H7ZKZXK+L._AC_UL320_.jpg;https://www.amazon.in/Nescafe-Gold-Smooth-Coffee-Powder/dp/B07K6J8VV4/ref=sr_1_76?qid=1679216334&s=grocery&sr=1-76;4.5;6445.0;445.0;520.0;Nescafe
Davidoff Café Espresso 57 Intense Instant Ground Coffee, 100 g Bottle, Glass Bottle;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/61stTyerhLL._AC_UL320_.jpg;https://www.amazon.in/Supreme-World-Davidoff-Coffee-Espresso/dp/B0756X6PZZ/ref=sr_1_77?qid=1679216334&s=grocery&sr=1-77;4.6;2509.0;436.0;650.0;Davidoff
Mala's Fruit Mocktail Syrup, Blue Curacao Mocktail, 750ml;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/714g+rBhGFL._AC_UL320_.jpg;https://www.amazon.in/Malas-Fruit-Mocktail-Syrup-Curacao/dp/B08CGKXKNF/ref=sr_1_78?qid=1679216334&s=grocery&sr=1-78;4.4;2935.0;296.0;299.0;Mala's
Real Fruit Power Mixed Fruit Juice 1L| No Added Preservatives;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/718s5Hnzt-L._AC_UL320_.jpg;https://www.amazon.in/Real-Fruit-Power-Mixed-1L/dp/B013P5X7XI/ref=sr_1_79?qid=1679216334&s=grocery&sr=1-79;4.2;15259.0;118.0;125.0;Real
B Natural Mixed Fruit, Goodness of fiber, Rich in Vitamin C & E, Made with 100% Indian Fruit and 0% Concentrate, 1 litre (...;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/91Zz6QbhjdL._AC_UL320_.jpg;https://www.amazon.in/Natural-Mixed-Fruit-Juice-Pack/dp/B07DCX9Q66/ref=sr_1_80?qid=1679216334&s=grocery&sr=1-80;4.3;9492.0;223.0;260.0;B
Bru Instant | Aromatic Coffee From South Indian Plantations | Premium Blend of Robusta & Arabica Beans For a Rich Coffee E...;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/612gMtYy6aL._AC_UL320_.jpg;https://www.amazon.in/Bru-Instant-Coffee-200g/dp/B00649B4EM/ref=sr_1_81?qid=1679216334&s=grocery&sr=1-81;4.4;7203.0;;420.0;Bru
Coca-Cola Zero Sugar, No Calories Soft Drink Can, 300 ml;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/51JEkuKPiSL._AC_UL320_.jpg;https://www.amazon.in/Coca-Cola-Zero-Soft-Drink-300ml/dp/B07G1CKCDH/ref=sr_1_82?qid=1679216334&s=grocery&sr=1-82;4.3;1395.0;;40.0;Coca-Cola
Wagh Bakri Instant Tea Premix Combo, 168g;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/51Oxe3AJFuL._AC_UL320_.jpg;https://www.amazon.in/Wagh-Bakri-Instant-Premix-Combo/dp/B0163KBUZE/ref=sr_1_83?qid=1679216334&s=grocery&sr=1-83;4.2;1729.0;150.0;160.0;Wagh
B Natural Guava Juice, Goodness of Fiber, 1 Litre;grocery & gourmet foods;Coffee, Tea & Beverages;https://m.media-amazon.com/images/I/81liZYjOoqL._AC_UL320_.jpg;https://www.amazon.in/B-Natural-Juice-Guava-1L/dp/B01M6C1HEJ/ref=sr_1_84_f3_0g_fs?qid=1679216334&s=grocery&sr=1-84;4.3;2672.0;66.0;130.0;B
