name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
QUXIS Portable High Pressure Foot Air Pump Heavy Compressor Cylinder with Pressure Gauge Floor Pump for Motorbike, for Car...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61sHYhGL3pL._AC_UL320_.jpg;https://www.amazon.in/QUXIS-Portable-Activated-Pressure-Gauge/dp/B098DYLKP1/ref=sr_1_1?qid=1679216992&s=sports&sr=1-1;4.0;7635.0;499.0;1299.0;QUXIS
Boldfit Gym Shaker for Protein Shake Leakproof Shaker Bottles for Protein, Preworkout and Bcaa Shake, Protein Shaker Bottl...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51NKPZx0a6L._AC_UL320_.jpg;https://www.amazon.in/Boldfit-Typhoon-Shaker-Leakproof-Preworkout/dp/B08JTMZRJW/ref=sr_1_2?qid=1679216992&s=sports&sr=1-2;4.1;8052.0;;229.0;Boldfit
Techista 2-in-1 Rechargeable - Cycle Light (3 Modes) Cycle Light and Horn/Cycle Lights Rechargeable Waterproof (140 dB) Cy...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61AkAm4EAML._AC_UL320_.jpg;https://www.amazon.in/Techista-2-1-Rechargeable-Waterproof/dp/B09KH81K1W/ref=sr_1_3?qid=1679216992&s=sports&sr=1-3;4.1;2214.0;339.0;999.0;Techista
Nivia Plain Encounter Stockings (L, Black) - Polyester Blend, Unisex,Knee Length, Pack of 1 Pair;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71z7s3J9qVL._AC_UL320_.jpg;https://www.amazon.in/Nivia-728LBW-Encounter-Blend-Stockings/dp/B079SCPN7W/ref=sr_1_4?qid=1679216992&s=sports&sr=1-4;4.1;2974.0;145.0;149.0;Nivia
Eazo Steel Multipurpose Air Pump with needle (use for Car,Bicycles,Scooters,Balls,Bikes etc);sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/616qy5Stc5L._AC_UL320_.jpg;https://www.amazon.in/EAZO-Steel-Multipurpose-Bicycles-Scooters/dp/B092SG8KM8/ref=sr_1_5?qid=1679216992&s=sports&sr=1-5;4.1;3678.0;369.0;450.0;Eazo
Gadget Deals Combo of Rechargeable Head Cycle Light and Cycle Tail Light Cycle Light led for Bicycle;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51uY2GdkWVL._AC_UL320_.jpg;https://www.amazon.in/Gadget-Deals-Combo-Rechargeable-Bicycle/dp/B08PP8XMFN/ref=sr_1_6?qid=1679216992&s=sports&sr=1-6;3.8;1444.0;279.0;1199.0;Gadget
Lista Rechargeable Bike Horn and Light 140 DB with Super Bright 250 Lumen Light 3 Modes, Plastic;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/618BL2J+3xL._AC_UL320_.jpg;https://www.amazon.in/Lista-Lista056-Rechargeable-Light-Bright/dp/B075GYJSPT/ref=sr_1_7?qid=1679216992&s=sports&sr=1-7;3.9;8334.0;339.0;599.0;Lista
PURSUE FASHION Premium Cotton Ankle Socks for Men and Women - Free Size, Solid Unisex Ankle Length Socks, Pack of 5 (Multi...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71gqkgPxczL._AC_UL320_.jpg;https://www.amazon.in/PURSUE-FASHION-Womens-Ankle-Socks/dp/B0BBG1SWK5/ref=sr_1_8?qid=1679216992&s=sports&sr=1-8;3.9;66.0;289.0;699.0;PURSUE
Strauss Bicycle Computer Odometer Speedometer Wired Cyclocomputer, ();sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/611QYlzagoL._AC_UL320_.jpg;https://www.amazon.in/Strauss-Bicycle-Speedometer-Black-Red/dp/B09BQ834ZZ/ref=sr_1_9?qid=1679216992&s=sports&sr=1-9;3.7;566.0;287.0;849.0;Strauss
Lista Lista002 Bicycle Silicone Saddle Seat and Cycling Cushion Pad Bike Gel Cover;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51gqOgzMwJS._AC_UL320_.jpg;https://www.amazon.in/Quality-Bicycle-Silicone-Cycling-Cushion/dp/B00RV3CLVU/ref=sr_1_10?qid=1679216992&s=sports&sr=1-10;3.6;6580.0;205.0;999.0;Lista
Strauss Bicycle Flash Tail Light with Laser, (Black);sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61j2cEs+tPL._AC_UL320_.jpg;https://www.amazon.in/Strauss-Bicycle-Flash-Light-Laser/dp/B07GKZZYNT/ref=sr_1_11?qid=1679216992&s=sports&sr=1-11;3.7;5117.0;179.5;499.0;Strauss
Boldfit Gym Headband for Men and Women - Sports Headband for Workout & Running, Breathable, Non-Slip & Quick Drying Head B...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71nBw7m1daL._AC_UL320_.jpg;https://www.amazon.in/Boldfit-Gym-Headband-Women-HeadBandBlack/dp/B09B2BRGPQ/ref=sr_1_12?qid=1679216992&s=sports&sr=1-12;4.0;1601.0;149.0;599.0;Boldfit
DOVEAZ® Sports Water Bottle for Gym, Protein Shaker Bottle, Gallon Water Bottle (1.5 LTR) with Mixer Ball and Strainer (BP...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61t+KbxoCWL._AC_UL320_.jpg;https://www.amazon.in/Sports-Unbreakable-Freezer-Gallon-Strainer/dp/B07YDZGM9S/ref=sr_1_13?qid=1679216992&s=sports&sr=1-13;4.4;2759.0;229.0;599.0;DOVEAZ®
Leader Scout MTB 26T Mountain Bicycle/Bike Without Gear Single Speed for Men - Sea Green, Ideal for 10 + Years, Frame Siz...;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81wGn2TQJeL._AC_UL320_.jpg;https://www.amazon.in/Leader-Scout-26T-SEA-Green_Black-Rider/dp/B089M9HVQP/ref=sr_1_14?qid=1679216992&s=sports&sr=1-14;4.1;3457.0;4499.0;7500.0;Leader
AmazonBasics ABS Horn Bell for Bicycles;sports & fitness;Cycling;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61IbZJshbAL._AC_UL320_.jpg;https://www.amazon.in/AmazonBasics-abcancytoac0002-Cycle-Bell/dp/B08Z912H9D/ref=sr_1_15?qid=1679216992&s=sports&sr=1-15;4.0;46.0;75.0;9999.0;AmazonBasics
