name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
Lychee bags Canvas Katie Sling for Girls (Purple);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/91rjlJKX+pL._AC_UL320_.jpg;https://www.amazon.in/Lychee-Womens-Sling-Beige-Lbhbcp19Po/dp/B017ETLNMS/ref=sr_1_241?qid=1679212573&s=apparel&sr=1-241;3.6;148.0;490.0;1199.0;Lychee
Redlicchi Women's PU Casual Purse Fashion School Leather Backpack Shoulder Bag Mini Backpack for Women & Girls;stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/61A7ASO2KBL._AC_UL320_.jpg;https://www.amazon.in/Redlicchi-Fashion-Leather-Backpack-Shoulder/dp/B07BF9CBSJ/ref=sr_1_242?qid=1679212573&s=apparel&sr=1-242;3.3;95.0;329.0;999.0;Redlicchi
Vivinkaa Star Red Canvas Sling Bag for Women;stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/71RWb7VerZL._AC_UL320_.jpg;https://www.amazon.in/Vivinkaa-Womens-Sling-Bag-Red/dp/B01B0KIGNQ/ref=sr_1_243?qid=1679212573&s=apparel&sr=1-243;3.8;105.0;379.0;899.0;Vivinkaa
CLASSIC FASHION Women's Handbag With Wallet (Set of 2) (CFSN43_Multicolored);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/81rEsZWk3ML._AC_UL320_.jpg;https://www.amazon.in/Classic-Fashion-Black-Handbag-Wallet/dp/B079WKZ8N7/ref=sr_1_244?qid=1679212573&s=apparel&sr=1-244;3.4;41.0;999.0;6599.0;CLASSIC
Butterflies Synthetic Women's Wallet;stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/51OWXmvqjnL._AC_UL320_.jpg;https://www.amazon.in/Butterflies-Womens-Wallet-BNS-2040/dp/B00IJ8CKBW/ref=sr_1_245?qid=1679212573&s=apparel&sr=1-245;4.2;731.0;399.0;1299.0;Butterflies
H&B Jute Waterproof Lunch Bag for Men and Women, 11x9x6-inches(Multicolour);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/71thFs3HyyL._AC_UL320_.jpg;https://www.amazon.in/Waterproof-Lunch-Women-11x9x6-inches-Multicolour/dp/B06XWBBM66/ref=sr_1_246?qid=1679212573&s=apparel&sr=1-246;3.5;28.0;299.0;899.0;H&B
Diana Korr Myra Women's Handbag (Blue) (DK29HBLU);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/A10A4kQIikL._AC_UL320_.jpg;https://www.amazon.in/Diana-Korr-Womens-Handbags-Blue/dp/B019OC4YBA/ref=sr_1_247?qid=1679212573&s=apparel&sr=1-247;3.4;74.0;2051.0;3999.0;Diana
Diana Korr Women's Handbag (Beige) (DK26HAPR);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/71j73V2WMUL._AC_UL320_.jpg;https://www.amazon.in/Diana-Korr-Womens-Handbag-DK26HAPR/dp/B00U2IF8M0/ref=sr_1_248?qid=1679212573&s=apparel&sr=1-248;3.9;59.0;2051.0;3999.0;Diana
Hidesign Women's Wallet (White and M Blue);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/71R16cIAhHL._AC_UL320_.jpg;https://www.amazon.in/Hidesign-Womens-Wallet-White-Blue/dp/B07BSV8FTM/ref=sr_1_249?qid=1679212573&s=apparel&sr=1-249;4.4;24.0;1979.0;3595.0;Hidesign
Under Armour Men's Hockey Liner Socks (1 Pair);stores;Fashion Sales & Deals;https://m.media-amazon.com/images/I/817vAPTNVTL._AC_UL320_.jpg;https://www.amazon.in/Under-Armour-Hockey-Liner-Medium/dp/B003RZ8H96/ref=sr_1_250?qid=1679212573&s=apparel&sr=1-250;4.0;20.0;;3950.0;Under
