name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
"EasyHealth Professional Grade 22"" Wrist Supporter for Gym, Wrist Band for Gym Men and Women, Wrist Wrap/Straps Gym Accesso...";sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81jwPup+8+L._AC_UL320_.jpg;https://www.amazon.in/EasyHealth-Wrist-Wraps-Professional-Support/dp/B07Q8JBSX2/ref=sr_1_313?qid=1679217661&s=sports&sr=1-313;4.3;1943.0;249.0;499.0;EasyHealth
ALN Sweat Slim Belt Free Size Fat Burning Sauna Hot Neoprene Material Shaper Waist Trimmer Weight Loss, Lower Back Posture...;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71W-l987ngL._AC_UL320_.jpg;https://www.amazon.in/ALN-Burning-Neoprene-Material-Multicolor/dp/B08LGB28PD/ref=sr_1_314?qid=1679217661&s=sports&sr=1-314;3.0;412.0;195.0;1899.0;ALN
Amazon Brand - Symactive Badminton Kit with 2 Racquets for Intermediate Players and Feather Shuttles, S333;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81xrhOHl+sS._AC_UL320_.jpg;https://www.amazon.in/AmazonBasics-absym_saxgh3_86-Fitness-Accessory/dp/B08PWCYBFG/ref=sr_1_315?qid=1679217661&s=sports&sr=1-315;3.7;34.0;619.0;1179.0;Amazon
ALN® 5 in 1 Ab Tummy Trimmer with Sweat Belt Combo Weight Loss Fitness Equipment for Women & Men Multipurpose Body Toner S...;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31lwgEhuSgL._AC_UL320_.jpg;https://www.amazon.in/Trimmer-Weight-Fitness-Equipment-Multipurpose/dp/B07XNVRBFG/ref=sr_1_316?qid=1679217661&s=sports&sr=1-316;3.5;961.0;329.0;1299.0;ALN®
8 Shaped Walking Exercise Mat;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41G4DlDVZHS._AC_UL320_.jpg;https://www.amazon.in/Shaped-Walking-Exercise-Mat-White/dp/B081H5M94Y/ref=sr_1_317?qid=1679217661&s=sports&sr=1-317;4.2;70.0;1510.0;1897.0;8
ELKO Natural Latex Tube Tummy Trimmer for Men & Women, Waist Fat Buster, Abs Exercise & Body Toner Equipment for Home & Gy...;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61sTfzVP9YL._AC_UL320_.jpg;https://www.amazon.in/ELKO-Natural-Trimmer-Exercise-Equipment/dp/B09RPFRHBP/ref=sr_1_318?qid=1679217661&s=sports&sr=1-318;3.7;17.0;599.0;1299.0;ELKO
NAVEX Fitness Gym Ball (Multi-Color) (95CM);sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PNKXQefzL._AC_UL320_.jpg;https://www.amazon.in/NAVEX-Fitness-Ball-Multi-Color-95CM/dp/B08KY833H6/ref=sr_1_319?qid=1679217661&s=sports&sr=1-319;5.0;1.0;995.0;1325.0;NAVEX
Rexez Double Spring Tummy Trimmer Pro Waist Trimmer Abs Exerciser Body Toner Fat Buster Home Gym Home Exercise Equipment A...;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41nNxPx16WL._AC_UL320_.jpg;https://www.amazon.in/Rexez-Exerciser-Exercise-Equipment-Abdominal/dp/B08DNXNKGW/ref=sr_1_320?qid=1679217661&s=sports&sr=1-320;3.1;7.0;255.0;999.0;Rexez
Natural Yoga rope - Pocket Gym Rope - Abdominal Exercise Fitness Rope For Men And Women (yellow);sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+Vh6rGZLL._AC_UL320_.jpg;https://www.amazon.in/Natural-Pocket-Abdominal-Exercise-yellow/dp/B08ZNFDXFF/ref=sr_1_321?qid=1679217661&s=sports&sr=1-321;3.8;85.0;399.0;500.0;Natural
"AURION Wrist Wraps 19"" Professional Grade with Thumb Loops - Wrist Support Braces for Men & Women - Weight Lifting, Xfit, ...";sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71ow9t6JAcL._AC_UL320_.jpg;https://www.amazon.in/Aurion-GYMWRAP-RED-Cotton-Lifting-Powerlifting/dp/B07PDYDXQR/ref=sr_1_322?qid=1679217661&s=sports&sr=1-322;3.8;50.0;177.35;199.0;AURION
Walito Sauna Slim Belt/ Sweat Belt for Fat Loss, Tummy Trimming, for Both Men and Women (Red) by P-YOG;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31akMNlUSWL._AC_UL320_.jpg;https://www.amazon.in/Walito-Sauna-Sweat-Tummy-Trimming/dp/B0BG4KS69Q/ref=sr_1_323?qid=1679217661&s=sports&sr=1-323;4.4;187.0;399.0;1499.0;Walito
Fitsy Adjustable Padded Ankle Straps for Cable Machine Gym Attachment, Legs, Butt, Glute Workout Exercises for Men and Wom...;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61rAEogbacL._AC_UL320_.jpg;https://www.amazon.in/Fitsy-Adjustable-Attachment-Exercises-AR3083X2/dp/B08WX41JGK/ref=sr_1_324?qid=1679217661&s=sports&sr=1-324;4.2;38.0;399.0;749.0;Fitsy
Puma Unisex-Adult TR Bottle Sportstyle, Varsity Green (5351818);sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51qceI6Y--L._AC_UL320_.jpg;https://www.amazon.in/Puma-Unisex-Adult-Sportstyle-Varsity-5351818/dp/B0B3JTGJDC/ref=sr_1_325?qid=1679217661&s=sports&sr=1-325;5.0;2.0;900.0;999.0;Puma
Kobo Power Weight Lifting Training Gym Straps Hook Bar with Padded Wrist Support;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/4193Bi4u6sL._AC_UL320_.jpg;https://www.amazon.in/Kobo-WTA-01-Gym-Support-Black/dp/B00XXO2Q9I/ref=sr_1_326?qid=1679217661&s=sports&sr=1-326;3.8;126.0;844.0;950.0;Kobo
PANFIKH Cotton Grade Weight Lifting Strap for Gym with Neoprene Padded, Deadlift Strap for Weightlifting, Bodybuilding, Po...;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71jeqhai-dL._AC_UL320_.jpg;https://www.amazon.in/PANFIKH-Premium-Cotton-Lifting-Padding/dp/B09ZYHMXSF/ref=sr_1_327?qid=1679217661&s=sports&sr=1-327;3.6;12.0;395.0;799.0;PANFIKH
Reebok Resistance Tube;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71qBQx1VPnS._AC_UL320_.jpg;https://www.amazon.in/Reebok-Heavy-Resistance-Tube-Free/dp/B014KPLYSC/ref=sr_1_328?qid=1679217661&s=sports&sr=1-328;4.4;737.0;1359.0;1699.0;Reebok
AmazonBasics Gym Gloves for Training and Exercise, L;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81wMMV+IcKL._AC_UL320_.jpg;https://www.amazon.in/AmazonBasics-Gym-Gloves-Training-Exercise/dp/B08P6LTMYD/ref=sr_1_329?qid=1679217661&s=sports&sr=1-329;3.5;28.0;170.0;799.0;AmazonBasics
INCHDOWN Double Spring Tummy Trimmer | Tone Muscle & Get Thinner, Solid Chrome Stainless Steel | Build to Last & Fit all B...;sports & fitness;Fitness Accessories;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61SNEU3wrgL._AC_UL320_.jpg;https://www.amazon.in/INCHDOWN-Double-Trimmer-Thinner-Stainless/dp/B08KM3D24H/ref=sr_1_330?qid=1679217661&s=sports&sr=1-330;4.0;170.0;899.0;1499.0;INCHDOWN
