name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
MILTON Kool Trendy 500 Plastic Insulated Water Bottle with Straw for Kids, 490 ml, Orange | School Bottle | Picnic Bottle...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61GnCtCqy7L._AC_UL320_.jpg;https://www.amazon.in/Milton-Trendy-Plastic-Insulated-Bottle/dp/B09Y5LZ3JH/ref=sr_1_49?qid=1679212742&s=kitchen&sr=1-49;4.2;743.0;;170.0;MILTON
KESI ORNAMENTS Sprout Maker with 4 Compartments for Multi Purpose Use - Plastic Grocery Container Sprouted Grains Seeds Da...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/51mu+EwfNjL._AC_UL320_.jpg;https://www.amazon.in/Sprout-Maker-Compartments-Multi-Purpose/dp/B0B6PZJV4D/ref=sr_1_50?qid=1679212742&s=kitchen&sr=1-50;4.4;205.0;284.0;499.0;KESI
MATIC HOUSEWARE Air Tight Containers For Kitchen Storage Set, Bpa-Free Container For Kitchen Storage Set Pantry Organizati...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/91-pXQn3EDL._AC_UL320_.jpg;https://www.amazon.in/MATIC-HOUSEWARE-Plastic-Container-Kitchen/dp/B09414W9Z5/ref=sr_1_51?qid=1679212742&s=kitchen&sr=1-51;4.4;210.0;497.0;1999.0;MATIC
Cello H2O Stainless Steel Water Bottle, 1 Litre, Blue;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61nb1cWMOiL._AC_UL320_.jpg;https://www.amazon.in/Cello-Stainless-Steel-Water-Bottle/dp/B07F5SHD5H/ref=sr_1_52?qid=1679212742&s=kitchen&sr=1-52;4.1;9080.0;449.0;535.0;Cello
Milton Pacific 1000 Pet Water Bottles Set of 6, 1 Litre Each, Blue;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71R266B8mqL._AC_UL320_.jpg;https://www.amazon.in/Milton-201502-BOTTLE-Pacific-Green/dp/B01BSY2ZTU/ref=sr_1_53?qid=1679212742&s=kitchen&sr=1-53;4.2;7337.0;176.0;270.0;Milton
Catron Stainless Steel Spice Grinder Glass, Steel Squeeze Mill,Pepper Grinder or Salt Shaker Manual Shaker, Spice Storage ...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/511NXpXM5TL._AC_UL320_.jpg;https://www.amazon.in/Catron-Stainless-Grinder-Adjustable-Coarseness/dp/B0B7146T5L/ref=sr_1_54?qid=1679212742&s=kitchen&sr=1-54;3.9;441.0;222.0;999.0;Catron
Amazon Brand - Solimo Slim Stainless Steel Water Bottle, Set of 3, 1 L Each;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/81mrMggUQnS._AC_UL320_.jpg;https://www.amazon.in/Amazon-Brand-Solimo-Stainless-Bottle/dp/B0929P7NT1/ref=sr_1_55?qid=1679212742&s=kitchen&sr=1-55;4.0;2585.0;699.0;999.0;Amazon
Cello Puro Kids Stainless Steel Inner 600 Milliliters Water Bottle (Red);home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/61ckbOjGh3L._AC_UL320_.jpg;https://www.amazon.in/Cello-Puro-Kids-Steel-Inner/dp/B0817RLYMQ/ref=sr_1_56?qid=1679212742&s=kitchen&sr=1-56;4.0;5051.0;;349.0;Cello
amaziyo Fridge plastic Storage Boxes, Fridge Organizer Case With Removable Drain Plate Stackable Fridge Storage Containers...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/71xDTM-WtUL._AC_UL320_.jpg;https://www.amazon.in/Organizer-Removable-Containers-Vegetables-Pack/dp/B0BLP4984D/ref=sr_1_57?qid=1679212742&s=kitchen&sr=1-57;4.5;235.0;499.0;999.0;amaziyo
Beddify Set Of 12 Reusable Fridge Storage Bags For Vegetables and Fruits Dual Layer Mesh Net Multipurpose Multi-Size Kitch...;home & kitchen;Kitchen Storage & Containers;https://m.media-amazon.com/images/I/91g9SEaYIjL._AC_UL320_.jpg;https://www.amazon.in/Beddify-Reusable-Storage-Ziplock-Vegetables/dp/B07GZLWFTJ/ref=sr_1_58?qid=1679212742&s=kitchen&sr=1-58;4.2;8875.0;329.0;599.0;Beddify
