name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki...;appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/51DGcy8eBCL._AC_UL320_.jpg;https://www.amazon.in/Pigeon-Amaze-Plus-1-5-Ltr/dp/B07WMS7TWB/ref=sr_1_4?qid=1679134465&s=kitchen&sr=1-4;3.9;128941.0;599.0;1245.0;Pigeon
Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine (10 Kg - with Back Light);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/61ocesEh0cL._AC_UL320_.jpg;https://www.amazon.in/Multipurpose-Portable-Electronic-Digital-Weighing/dp/B09185QH3C/ref=sr_1_5?qid=1679134465&s=kitchen&sr=1-5;3.8;365.0;199.0;899.0;Glun
beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display...;appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/61Is7sICRJL._AC_UL320_.jpg;https://www.amazon.in/beatXP-Multipurpose-Portable-Electronic-Weighing/dp/B0B61DSF17/ref=sr_1_6?qid=1679134465&s=kitchen&sr=1-6;3.7;3290.0;299.0;1999.0;beatXP
Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White;appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/61qgKaW71mL._AC_UL320_.jpg;https://www.amazon.in/Bajaj-Majesty-1000-Watt-Iron-White/dp/B01C8P29N0/ref=sr_1_7?qid=1679134465&s=kitchen&sr=1-7;4.2;24380.0;625.0;1400.0;Bajaj
Bajaj Frore 1200 mm Ceiling Fan (Brown);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/41XJ2wk4M1L._AC_UL320_.jpg;https://www.amazon.in/Bajaj-Frore-1200-Brown-Ceiling/dp/B07SPVMSC6/ref=sr_1_8?qid=1679134465&s=kitchen&sr=1-8;4.1;9971.0;1349.0;2660.0;Bajaj
Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag (Assorted);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/31hmQqq7KsL._AC_UL320_.jpg;https://www.amazon.in/Kuber-Industries-Laundry-Organiser-LMESH02/dp/B077K1HFZ3/ref=sr_1_9?qid=1679134465&s=kitchen&sr=1-9;3.7;4210.0;92.0;99.0;Kuber
Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black;appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/71zlLSHbJ-L._AC_UL320_.jpg;https://www.amazon.in/Prestige-Electric-Kettle-PKOSS-1500watts/dp/B01MQZ7J8K/ref=sr_1_10?qid=1679134465&s=kitchen&sr=1-10;3.9;64888.0;699.0;1445.0;Prestige
NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jar, Silver);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/7152-mn8mKL._AC_UL320_.jpg;https://www.amazon.in/NutriPro-Bullet-Juicer-Grinder-Blades/dp/B09J2SCVQT/ref=sr_1_11?qid=1679134465&s=kitchen&sr=1-11;4.1;6023.0;1990.0;6000.0;NutriPro
Philips GC1905 1440-Watt Steam Iron with Spray (Blue);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/71SxUzhnLvL._AC_UL320_.jpg;https://www.amazon.in/Philips-GC1905-1440-Watt-Steam-Spray/dp/B008QTK47Q/ref=sr_1_12?qid=1679134465&s=kitchen&sr=1-12;4.3;38928.0;1699.0;2295.0;Philips
Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel ...;appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/61zhqJg1bTL._AC_UL320_.jpg;https://www.amazon.in/Lifelong-LLMG23-500-Watt-Liquidizing-Stainless/dp/B09X5C9VLK/ref=sr_1_16?qid=1679134465&s=kitchen&sr=1-16;3.8;45688.0;1329.0;3500.0;Lifelong
Bajaj PX 97 Torque New 36L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerf...;appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/71mdr95IHcL._AC_UL320_.jpg;https://www.amazon.in/Bajaj-Torque-New-Honeycomb-Technology/dp/B09R3QNGW5/ref=sr_1_17?qid=1679134465&s=kitchen&sr=1-17;3.7;19602.0;5799.0;9050.0;Bajaj
Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White;appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/51Ck4wmBbSL._AC_UL320_.jpg;https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/dp/B00HVXS7WC/ref=sr_1_18?qid=1679134465&s=kitchen&sr=1-18;4.2;42284.0;2099.0;3210.0;Bajaj
USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/71q7meZ82qL._AC_UL320_.jpg;https://www.amazon.in/Armour-AR1100WB-1100-Watt-Soleplate-Purple/dp/B0883KDSXC/ref=sr_1_19?qid=1679134465&s=kitchen&sr=1-19;3.9;17030.0;549.0;990.0;USHA
Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/61x0Qnm08HS._AC_UL320_.jpg;https://www.amazon.in/Philips-Collection-HD4928-01-2100-Watt/dp/B00EDJJ7FS/ref=sr_1_20?qid=1679134465&s=kitchen&sr=1-20;4.2;40782.0;3099.0;5995.0;Philips
PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey;appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/71LX24shyGL._AC_UL320_.jpg;https://www.amazon.in/PrettyKrafts-Laundry-Basket-Clothes-Handles/dp/B0814P4L98/ref=sr_1_21?qid=1679134465&s=kitchen&sr=1-21;3.9;5754.0;289.0;1099.0;PrettyKrafts
Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/71cFxsy+BCL._AC_UL320_.jpg;https://www.amazon.in/Butterfly-EKN-1-5-Litre-Kettle-Silver/dp/B078V8R9BS/ref=sr_1_22?qid=1679134465&s=kitchen&sr=1-22;4.2;36295.0;649.0;1299.0;Butterfly
Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black);appliances;Kitchen & Home Appliances;https://m.media-amazon.com/images/I/61DAkNxj9uL._AC_UL320_.jpg;https://www.amazon.in/Pigeon-Stovekraft-Cruise-1800-Watt-Induction/dp/B01GFTEV5Y/ref=sr_1_23?qid=1679134465&s=kitchen&sr=1-23;3.8;55819.0;1689.0;3193.0;Pigeon
