name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price;brand
O3+ Eye Circle Cream - Brightening & Whitening for Dark Circles, Finelines and Puffy Bags, 15g;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/31cr84-sGkL._AC_UL320_.jpg;https://www.amazon.in/O3-Eye-Circle-Cream-15g/dp/B07BP5TCV9/ref=sr_1_193?qid=1679215105&s=luxury-beauty&sr=1-193;3.8;1005.0;423.0;445.0;O3+
Biolage Hydrasource Conditioner | Paraben Free|Intensely Hydrates Dry Hair | For Dry Hair;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/71ZPyC85cDL._AC_UL320_.jpg;https://www.amazon.in/MATRIX-fbb-Biolage-Hydrating-Conditioner/dp/B0141OIZ66/ref=sr_1_194?qid=1679215105&s=luxury-beauty&sr=1-194;4.2;342.0;;180.0;Biolage
Tvaksh Faceguard Silicone Sunscreen Gel SPF30, 30gm;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/71fc+oPmz3L._AC_UL320_.jpg;https://www.amazon.in/Faceguard-Silicone-Sunscreen-Gel-SPF-30/dp/B07BJ6J81B/ref=sr_1_195?qid=1679215105&s=luxury-beauty&sr=1-195;4.3;149.0;441.0;501.0;Tvaksh
Davidoff Cool Water For Men. Eau De Toilette Spray 4.2 Ounces;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/410EqXHsCRL._AC_UL320_.jpg;https://www.amazon.in/Davidoff-Water-Toilette-Spray-Ounces/dp/B0009OAHC8/ref=sr_1_196?qid=1679215105&s=luxury-beauty&sr=1-196;4.2;28269.0;4250.0;4750.0;Davidoff
De Fabulous Get Closer Scalp Aid Shampoo and Conditioner – 250ml| Sulphate Free | pH Balanced | (Combo Set);beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/51NQQCvk-fL._AC_UL320_.jpg;https://www.amazon.in/Fabulous-Closer-Shampoo-Conditioner-Sulfate/dp/B07SPZQXQ5/ref=sr_1_197?qid=1679215105&s=luxury-beauty&sr=1-197;3.9;62.0;2565.0;2700.0;De
Just Herbs Anti Hairfall Natural Hair Mask with Castor & Black Onion Seed for Dandruff, Boost Hair Growth & Hair Spa - Sui...;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/61LdDhZKVJL._AC_UL320_.jpg;https://www.amazon.in/Just-Herbs-Hairfall-Natural-Dandruff/dp/B0B129GKGW/ref=sr_1_198?qid=1679215105&s=luxury-beauty&sr=1-198;4.6;612.0;524.0;595.0;Just
Forest Essentials Hair Cleanser Amla, Honey & Mulethi 200ml (Shampoo);beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/615cql1+7yS._AC_UL320_.jpg;https://www.amazon.in/Forest-Essentials-Cleanser-Honey-Mulethi/dp/B01N4L7MX2/ref=sr_1_199?qid=1679215105&s=luxury-beauty&sr=1-199;4.4;654.0;;1575.0;Forest
MATRIX Opti Long Professional 200ml Shampoo + 98g conditioner |For healthy, long hair with nourished lengths and split end...;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/518lpCmsKxL._AC_UL320_.jpg;https://www.amazon.in/Professional-conditioner-nourished-protection-Ceramide/dp/B093VC65ML/ref=sr_1_200?qid=1679215105&s=luxury-beauty&sr=1-200;4.3;157.0;585.0;620.0;MATRIX
Nautica Voyage Eau De Toilette For Men, 100Ml;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/61gm2yDGyyL._AC_UL320_.jpg;https://www.amazon.in/Nautica-Voyage-Men-Toilette-Spray/dp/B000P22TIY/ref=sr_1_201?qid=1679215105&s=luxury-beauty&sr=1-201;3.9;84763.0;2145.0;3900.0;Nautica
Wella Professionals EIMI Mistify Me Strong Fast Drying Hair Spray | 300 ml | Finishing Hairspray | Hair Setting & Styling ...;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/41--zSH5wuL._AC_UL320_.jpg;https://www.amazon.in/Wella-Professionals-Mistify-Strong-drying/dp/B07CPZFCH6/ref=sr_1_202?qid=1679215105&s=luxury-beauty&sr=1-202;4.2;132.0;637.0;670.0;Wella
Brillare Heavy Moisturising Shampoo, Natural Shampoo for Dry and Frizzy Hair, Enriched With Wheat Germ & Avocado Fruit, De...;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/41ug4LXjltL._AC_UL320_.jpg;https://www.amazon.in/Brillare-Science-Heavy-Moisturising-Shampoo/dp/B0132HJ1V6/ref=sr_1_203?qid=1679215105&s=luxury-beauty&sr=1-203;4.2;623.0;;495.0;Brillare
Ajmal Musk Rose Concentrated Floral Perfume Free From Alcohol 12ml for unisex;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/71O26dO2pgL._AC_UL320_.jpg;https://www.amazon.in/Ajmal-MUSK-ROSE-Free-Alcohol/dp/B0162XX4ME/ref=sr_1_204?qid=1679215105&s=luxury-beauty&sr=1-204;4.1;525.0;480.0;750.0;Ajmal
The Body Shop Vegan Body Yogurt Strawberry, 200 Ml;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/61Wb3jD198L._AC_UL320_.jpg;https://www.amazon.in/Body-Shop-Strawberry-Yogurt-Moisturizer/dp/B07BKFY27Z/ref=sr_1_205?qid=1679215105&s=luxury-beauty&sr=1-205;4.4;1496.0;796.0;995.0;The
Wella Professionals Invigo Volume Boost Bodifying Shampoo | 250 ml | Lightweight, Volumizing Hair Cleanser for Normal to F...;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/416cXsHQO-L._AC_UL320_.jpg;https://www.amazon.in/Wella-Professionals-Invigo-Bodifying-Shampoo/dp/B07BQBRV69/ref=sr_1_206?qid=1679215105&s=luxury-beauty&sr=1-206;4.1;231.0;;680.0;Wella
BIOLAGE Colorlast Conditioner | Paraben free|Helps Maintain Color Depth, Tone & Shine | Anti-Fade | For Colored Hair;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/71hLvJAQbdL._AC_UL320_.jpg;https://www.amazon.in/MATRIX-fbb-Colorlast-Protecting-Conditioner/dp/B06X6DMTXM/ref=sr_1_207?qid=1679215105&s=luxury-beauty&sr=1-207;4.4;160.0;;335.0;BIOLAGE
Sadhev Aloe Vera Gel with Saffron and Kumkumadi Thailam 100 g;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/61TraJJ9WHL._AC_UL320_.jpg;https://www.amazon.in/Sadhev-Aloe-Vera-Saffron-Kumkumadi-Thailam/dp/B08KQGCJRS/ref=sr_1_208?qid=1679215105&s=luxury-beauty&sr=1-208;4.3;111.0;1268.0;1775.0;Sadhev
Wella Professionals Fusion Intense Repair Shampoo | 250 ml | Protecting, Repairing Hair Cleanser for Damaged Hair | With S...;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/61Xtu7p07cL._AC_UL320_.jpg;https://www.amazon.in/Wella-Professionals-Fusion-Intense-Shampoo/dp/B06Y2D6KSZ/ref=sr_1_209?qid=1679215105&s=luxury-beauty&sr=1-209;4.1;374.0;1045.0;1100.0;Wella
Cheryl's Cosmeceuticals Hydramoist - Face Cream - For All Skin Types;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/511nc2X7tAS._AC_UL320_.jpg;https://www.amazon.in/Cheryls-Hydramoist-Moisturiser-Dry-Skin/dp/B07928VRT6/ref=sr_1_210?qid=1679215105&s=luxury-beauty&sr=1-210;4.2;312.0;;499.0;Cheryl's
Kama Ayurveda Nalpamaradi Thailam Skin Brightening Treatment- 50 ml;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/41bGwDpChIL._AC_UL320_.jpg;https://www.amazon.in/Nalpamaradi-Thailam-Skin-Brightening-Treatment/dp/B082VR7XCL/ref=sr_1_211?qid=1679215105&s=luxury-beauty&sr=1-211;3.9;662.0;;650.0;Kama
Innisfree Green Tea Foam Cleanser | Face wash for Men & Women | For Dull & Dry Skin, 150 ml;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/516LTEtIXWL._AC_UL320_.jpg;https://www.amazon.in/Innisfree-Green-Tea-Foam-Cleanser/dp/B07NS4D8TK/ref=sr_1_212?qid=1679215105&s=luxury-beauty&sr=1-212;4.4;729.0;704.0;800.0;Innisfree
The Body Shop Almond Milk & Honey Soothing & Caring Shower Cream, 250 Ml;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/61C-J-hrJwL._AC_UL320_.jpg;https://www.amazon.in/Body-Shop-Almond-Calming-Caring/dp/B06X9K7Q5V/ref=sr_1_213?qid=1679215105&s=luxury-beauty&sr=1-213;4.3;511.0;421.0;495.0;The
Forest Essentials Luxury Sugar Soap Bitter Orange & Cinnamon|Sulphate-Free Formula|Bar Soap For Men And Women|125 g;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/61BgmjQP+EL._AC_UL320_.jpg;https://www.amazon.in/Forest-Essentials-Bitter-Orange-Cinnamon/dp/B009XOT3G6/ref=sr_1_214?qid=1679215105&s=luxury-beauty&sr=1-214;4.4;320.0;395.0;450.0;Forest
Blue Heaven Matte Bb Cream, Honey - Medium, 301, 30 Gm;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/51WHzcYANjL._AC_UL320_.jpg;https://www.amazon.in/Blue-Heaven-BB-Cream-Honey/dp/B0914DCKFL/ref=sr_1_215?qid=1679215105&s=luxury-beauty&sr=1-215;3.5;509.0;100.0;125.0;Blue
Ajmal Blu Perfume Deodorant 200ml Body Spray Gift For men;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/71EYbbzLA0L._AC_UL320_.jpg;https://www.amazon.in/Ajmal-Blu-Deodorant-Man-200/dp/B07GJK7N11/ref=sr_1_216?qid=1679215105&s=luxury-beauty&sr=1-216;3.7;929.0;175.0;399.0;Ajmal
Schwarzkopf Professional Bonacure Bc Keratin Smooth Perfect Micellar Shampoo | For Frizzy Hair | 1000 Ml;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/41QgwG1Lv9L._AC_UL320_.jpg;https://www.amazon.in/Schwarzkopf-Professional-Bonacure-Keratin-Micellar/dp/B07CJMQGPV/ref=sr_1_217?qid=1679215105&s=luxury-beauty&sr=1-217;4.2;552.0;1750.0;1975.0;Schwarzkopf
Just Herbs Nosun Jojoba-Wheatgerm Moisturizing Sun Protection Gel with SPF 35+ PA++++ for Oily & Combination Skin, Paraben...;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/61XGE9oroZL._AC_UL320_.jpg;https://www.amazon.in/Just-Herbs-Jojoba-Wheatgerm-Moisturising-Protection/dp/B07CGG3TWX/ref=sr_1_218?qid=1679215105&s=luxury-beauty&sr=1-218;4.0;249.0;596.0;795.0;Just
Biolage Smoothproof Shampoo and Conditioner Combo (200ml + 98g);beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/51KyNFbRrAL._AC_UL320_.jpg;https://www.amazon.in/Biolage-Smoothproof-Shampoo-Conditioner-Combo/dp/B08W2PK14L/ref=sr_1_219?qid=1679215105&s=luxury-beauty&sr=1-219;4.2;1017.0;373.0;415.0;Biolage
03+ Volcano Scrub For Exfoliation, Deep Cleansing, Blackhead Removal And Pore Minimization (50G);beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/51krwWzKmoL._AC_UL320_.jpg;https://www.amazon.in/O3-Exfoliation-Cleansing-Blackhead-Minimization/dp/B00K9FWORS/ref=sr_1_220?qid=1679215105&s=luxury-beauty&sr=1-220;3.9;436.0;465.0;490.0;03+
Schwarzkopf Professional Bonacure Keratin Smooth Perfect Conditioner | For Frizzy Hair | 200ml;beauty & health;Luxury Beauty;https://m.media-amazon.com/images/I/41Fo8fgDzJL._AC_UL320_.jpg;https://www.amazon.in/Schwarzkopf-Professional-Keratin-Perfect-Conditioner/dp/B07DLJ3F8B/ref=sr_1_221?qid=1679215105&s=luxury-beauty&sr=1-221;4.2;805.0;900.0;1000.0;Schwarzkopf
