country,state,AmazonEmployees_nb,perCapitaEmployees-Density
United States,Washington,85000,1054.716194
United States,Delaware,7000,655.7929943
United States,Nevada,21000,632.4215421
United States,New Jersey,58000,602.781525
United States,Kentucky,25000,540.4061693
United States,Arizona,40000,520.0383788
United States,Maryland,32000,507.1813712
United States,Connecticut,16000,431.6018904
United States,California,170000,428.6024032
United States,Tennessee,31000,424.2391066
United States,Ohio,45000,376.8023713
United States,Indiana,24000,344.4109282
United States,Illinois,43000,336.5132531
United States,Colorado,20000,332.5767213
United States,Georgia,37000,327.5118834
United States,Oregon,13000,302.9533289
United States,Texas,95000,298.2375729
United States,Massachusetts,21000,291.4331154
United States,Oklahoma,12000,290.7751581
United States,North Carolina,32000,285.4364948
United States,Kansas,8000,267.5844814
United States,Michigan,26000,254.9619518
United States,Wisconsin,15000,250.3529977
United States,Florida,59000,247.4873739
United States,Pennsylvania,30000,228.3139774
United States,Utah,8000,224.4668911
United States,Idaho,4500,221.4436155
United States,New York,39000,195.0282791
United States,Alabama,9000,173.1528439
United States,New Mexico,3500,163.6010938
United States,Missouri,10000,159.1624237
United States,Minnesota,9000,154.2879184
United States,Louisiana,7000,151.929175
United States,Arkansas,4000,128.7316075
United States,Mississippi,3500,118.9294986
United States,New Hampshire,1600,113.0055231
United States,North Dakota,900,111.9279085
United States,South Carolina,6000,107.723216
United States,Virginia,8000,90.01203911
United States,Rhode Island,1000,89.1909489
United States,Iowa,2500,76.57999853
United States,Hawaii,1000,68.92273761
United States,Nebraska,500,24.71491347
United States,West Virginia,400,22.60576673
United States,Maine,300,21.27086317
United States,South Dakota,100,10.74075785
United States,Alaska,50,6.722634843
United States,Montana,30,2.624304559
Total,United States,1084880,317.7178129
