flagCode,country,AmazonUsers_MonthlyVisits_202406,Pourcentage from Total users
US,United States,3250000000,47.46
JP,Japan,611380000,8.93
DE,Germany,524380000,7.66
IN,India,452600000,6.61
GB,United Kingdom,445040000,6.5
IT,Italy,235100000,3.43
FR,France,232250000,3.39
CA,Canada,221100000,3.23
BR,Brazil,203420000,2.97
ES,Spain,188590000,2.75
MX,Mexico,141780000,2.07
AU,Australia,71000000,1.04
TR,Turkey,59330000,0.87
EG,Egypt,42960000,0.63
SA,Saudi Arabia,41420000,0.6
NL,Netherlands,34820000,0.51
AE,United Arab Emirates,27500000,0.4
PL,Poland,22500000,0.33
BE,Belgium,19700000,0.29
SE,Sweden,14460000,0.21
SG,Singapore,7030000,0.1
CN,China,1400000,0.02
