url,category,name,brand,price,reduction_percentage,average_review,review_stars,number_of_reviews,image_url,availability,last_month_sales
https://www.amazon.com/dp/B08TJRVWV1,Computers & Accessories,"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",,12.,,4.7 out of 5,,"115,609 ratings",https://m.media-amazon.com/images/I/61DwejyTGkL.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B08412HXK9,Computers & Accessories,"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",HP,40.,,4.6 out of 5,,"57,819 ratings",https://m.media-amazon.com/images/I/51eBahpKdaL.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B09X7FXHVJ,Computers & Accessories,"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",,19.,-20%,4.8 out of 5,,"68,354 ratings",https://m.media-amazon.com/images/I/81wwLOgkLgL.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B07CRG94G3,Computers & Accessories,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",Seagate,69.,-13%,4.6 out of 5,,"259,348 ratings",https://m.media-amazon.com/images/I/41KH-bTKcKL.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B0C8HHV9DK,Computers & Accessories,"Anker iPhone 16 Charger, 2-Pack 20W Fast USB C Charger Block, for iPhone 16/16 Pro Max/15 Series/iPad Pro and More (Black, 2 Pack & 2 Cable)",Anker,18.,,4.6 out of 5,,"16,802 ratings",https://m.media-amazon.com/images/I/719R46dVUTL.__AC_SX300_SY300_QL70_ML2_.jpg,,
https://www.amazon.com/dp/B07N3FYTW5,Computers & Accessories,"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",HP,52.,,4.6 out of 5,,"23,670 ratings",https://m.media-amazon.com/images/I/71-Eh6P5WfL.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B07N3G1P55,Computers & Accessories,"HP 910 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN, 3 Count (Pack of 1)",HP,43.,,4.6 out of 5,,"18,114 ratings",https://m.media-amazon.com/images/I/718rOMHM-bS.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B08RHD97QY,Computers & Accessories,"TP-Link AC1200 WiFi Extender, 2025 Wirecutter Best WiFi Extender, 1.2Gbps home signal booster, Dual Band 5GHz/2.4GHz, Up to 1600 Sq.ft and 32 Devices, EasyMesh Compatible, One Ethernet Port (RE315)",,22.,-23%,4.2 out of 5,,"31,089 ratings",https://m.media-amazon.com/images/I/41Y56RIq57L.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B07T2S3D6J,Computers & Accessories,"Original HP 962 Cyan, Magenta, Yellow / 962XL Black Ink Cartridges (4-Pack) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series",HP,134.,,4.6 out of 5,,"6,066 ratings",https://m.media-amazon.com/images/I/71V786Mv6YL.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B0831BF1FH,Computers & Accessories,"Stylus Pen for iPad 6th-11th Generation-2X Fast Charge Active Pencil Compatible with 2018-2025 Apple iPad Pro 11""/12.9""/M4, iPad Air 3/4/5/M2/M3,iPad mini 5/6 Gen-White",JAMJAKE,18.,-37%,4.4 out of 5,,"92,440 ratings",https://m.media-amazon.com/images/I/414C25OyjML.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
https://www.amazon.com/dp/B0765MNPBL,Computers & Accessories,"HP Original 952 Cyan, Magenta, Yellow / 952XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8702 OfficeJet Pro 7700, 8210, 8700 Series | Eligible for Instant Ink | N9K28AN",HP,147.,,4.6 out of 5,,"2,400 ratings",https://m.media-amazon.com/images/I/71j7xt3vCZL.__AC_SX300_SY300_QL70_ML2_.jpg,In Stock,
